local,sexo,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
24,1,1548887,1,491430,53052904,290337,879433421,781767,932486325,311032,884121336,118102,859467221,58931,8868758179,177034,746343039,31,7279474263069,42,3060949289519,13,4228555571813,72319,1695787844,191586,453751397,432112,500129473,998,7456603409,190316,210380197,440583,830328929,219627,765324317,37693,1484619527,103552
24,2,1619139,99999997,468533,813865417,294768,751990737,763302,565856154,297180,22784297,112758,368914483,55791,7921295334,168550,161044016,28,9372020866278,42,344586071323,12,1635962331658,67619,8002667342,176605,269131625,409981,22785007,1263,92961220575,170360,772043203,419482,698673408,196911,371059865,32391,1173057771,104698
25,1,1824379,3,687168,340961688,307456,429875893,994624,770837581,377673,810118718,166883,988499217,64033,3204399571,230917,308939175,37,6658764961489,43,2659613838752,16,2965035797219,96796,2134074996,259968,290793276,618803,161153562,1085,4021364277,397272,578649636,534110,702685308,394928,219287617,73331,78597772,103768
25,2,1942149,6,663924,264455828,323224,967910674,987149,232366502,363618,192163284,157785,411563073,61773,3704977071,219558,78206078,34,1850323768056,42,8713166322662,14,6555734711031,88959,5673751704,240152,424483444,596002,9609312,1243,94161296893,372897,1339449,516305,43280423,370212,719057341,61680,580973302,105935
26,1,4230680,99999999,1430717,73863535,718857,526872606,2149575,26550796,895280,333519814,367370,422816586,156090,614450241,523461,37266827,33,817669983517,43,117639805108,14,581381133973,225206,482656267,519948,902171551,1235971,68122662,1971,53192042094,813439,430927006,1060207,6550806,755676,731198692,143873,687937351,286483
26,2,4565767,15,1410982,24164006,766000,955128509,2176983,19676857,863463,468613281,352406,659699908,150175,356861222,502582,1656113,30,903509566739,42,7631360628387,13,215309844217,211299,724427615,492696,792971094,1216138,22810212,2198,32549141325,774963,840949858,1053016,8844698,709162,722736542,128827,974113706,301049
27,1,1511767,2,670326,205215655,283997,676566226,954323,881781881,358298,342118911,187260,782324504,63498,5116131893,250759,293937694,44,3405766375141,43,6185471733442,19,3407153375669,117510,426184278,279653,738018227,583329,630010849,1904,15671668005,373211,579340619,536505,41743451,297071,397945056,72901,8855825689,122448
27,2,1608726,99999996,668839,940414385,304715,216339431,973555,156753816,346714,511579262,179214,882570803,62158,5351158995,241373,417686702,41,5757266717349,43,2196591558796,17,9688873591039,112258,411791254,268199,603720763,578459,99717309,2021,52272951735,361614,511050011,541912,183784906,280610,964734923,65947,8826906411,128733
28,1,1005041,2,357909,145721007,168484,200669976,526393,346390983,219504,898389882,92632,213255281,37506,4144877978,130138,435813326,35,6113975172159,43,7863981919111,15,5929483185925,46924,5393541931,169857,994500561,315852,481332043,986,966252367212,155449,643791787,297689,97398722,165254,492673143,37282,2169217761,65561
28,2,1062976,2,343763,3822205,175099,379638583,518862,761859083,211661,412925275,90012,6137563265,35038,1939879696,125050,807744296,32,3397124883809,43,3952293913358,14,338924188314,43122,4695164903,159090,21335984,300922,285019612,997,622994479014,145123,88381221,285959,397838992,151590,318379732,31099,4958136634,66877
29,1,6878265,99999974,2557103,38973616,1183523,59905037,3740626,98878652,1424546,99138896,623360,86138612,247478,523749913,870839,385136033,37,1765702247667,43,2193187176033,16,674603737155,345077,758887339,1022232,38830783,2243318,14331691,5338,72953032246,1264933,69668794,1798279,81835187,1526423,80821113,288053,988583208,477659
29,2,7138639,9999995,2426905,14006428,1209449,68563408,3636354,82569836,1371744,39604177,600179,177932558,237257,663846908,837436,841779466,33,9967436383464,42,9928538267778,14,6161702982987,322154,34164594,952391,219572231,2122283,23885603,5672,58166410759,1142133,62816986,1708436,13114682,1380795,36422528,254305,280918933,491282
31,1,9641876,99999982,1716565,70837248,1067902,89093845,2784468,59931093,1717458,1396538,364187,926585904,223027,650875575,587215,577461479,17,8032317605018,41,4562547094384,7,38055310514525,282670,925328959,460357,40819232,1547084,60242742,2711,73396418689,1087361,38707258,1318550,42075618,1097235,81847289,188239,812047297,260058
31,2,9955452,99999988,1572917,58954516,1052413,48943733,2625331,7898249,1655518,81243638,349909,513480008,212665,965735755,562575,479215763,15,7995581873088,41,3729301728386,6,53674017645225,255938,880873996,429734,994796448,1417073,72873778,2888,67214486046,951045,531007841,1189281,54853252,962515,548622256,165295,27776247,263138
32,1,1731218,1,336042,271778601,201994,517976143,538036,789754743,320206,714471585,73828,6844091107,43708,9302178733,117537,614626984,19,4107427128529,41,3751543184891,8,3122475180778,56755,9340750662,86935,1118693266,291227,876014124,650,636563740319,219133,19530108,285620,696325998,191288,90061566,39491,1805027831,50302
32,2,1783733,99999997,308080,641403885,201594,15630671,509674,657034556,308556,564326564,69496,7626430321,42230,9477620743,111727,710405106,17,2716695092368,41,23445441793,7,12187869100177,51869,9625235687,80370,2308597369,267786,323068485,456,29870908241,192970,996747415,257350,863686655,168417,616927467,33106,8754330604,49811
