local,raca,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
42,5,16241,554828293,7940,14432161595,2686,65633087161,10626,8006524876,3550,89999246487,2390,55694615073,578,694885782268,2969,251831933,48,8878337422727,45,7644465113579,22,373246523544,1590,65910200385,2658,81418086349,6522,9200767719,0,5136,74474620911,6565,39907693776,5871,56229937824,1037,58633387277,492,749698286395
43,1,8899356,90058737,1286008,22490484,1045291,69587953,2331299,92078437,1390586,84802795,260231,609922768,181889,209725184,442120,819647952,14,4505747917578,40,4943718685133,5,85166949331205,182384,354118565,309496,522423101,1118951,35917938,2210,64388479146,661307,221481966,1150161,58172499,533714,898948061,172614,577441407,147289
43,2,587888,460462307,122623,866925545,83156,2411807618,205780,108106306,88439,5590890596,26552,838768177,14374,2006420416,40926,2845188594,20,8583558229932,41,8339687403338,8,72587805473856,26372,3737093005,54590,5025516559,104262,477136857,314,347027908037,36712,4008002339,95694,7890402277,27932,5628046566,11084,2675202335,24637
43,3,35590,196939257,9184,31741138165,4760,33285769013,13944,6502690718,5707,96564063675,2010,85466198724,803,673020745309,2814,52768273255,25,8058789805873,42,529435121472,10,9750945585745,1927,77356658115,3049,57648724077,8180,3629594257,6,714224870529,4110,86105859328,7746,66069414839,3991,54701756123,1230,9072458762,1238
43,4,1137822,83359369,282798,395363417,180965,83498655,463763,478862072,220207,49217711,70140,7374269569,38264,4391134807,108405,176540438,24,8543434895069,42,377162693226,10,4481983967218,54217,299913631,106118,438558399,242108,822285807,620,703310915028,96527,43504274,231992,6401136,85836,6807840659,34298,4789437519,44152
43,5,33152,9192072021,19721,1961818964,4479,20409902842,24200,4002809248,8820,82286032152,6665,5204758938,1055,6777184066,7720,72976599598,59,4855495488679,47,8475496383606,28,4623778480461,5507,82467043418,9089,65332101895,13978,475526697,81,487525422496,7331,26029447581,14475,4542638551,13814,5192488534,2735,21154088261,975
50,1,1147284,1947352,210193,597488526,175203,244565467,385396,842053993,224166,194984044,52223,7573383743,36905,8414391284,89129,5987775026,18,3209703797097,40,7885912049085,7,47286571295215,32210,7544318029,55030,3515551113,174797,80306274,130,857318678964,98437,2928695565,201889,640055973,87082,241004577,20950,1120828929,34233
50,2,119442,306181178,29867,3929521297,22472,2547210911,52339,6476732207,13177,28107438,4153,3749901682,2591,6132288219,6744,65072783872,25,57068613736,40,907697067167,10,2292588123545,5452,23713927609,9633,28291357871,24666,2205101058,54,3087041215424,11480,4295680606,28396,233041948,10241,9657776403,2961,84657886118,5693
50,3,29432,8210370887,4093,62543502487,3795,28927873035,7888,91471375523,4104,997525678,821,899809027534,584,388888200061,1406,2886972276,13,9083692652717,41,6464195691068,5,79233781943574,960,255347932428,1032,27448352782,3428,83725850603,0,1677,97282800872,3961,45914836832,1436,74863669749,409,579965977565,863,230405293846
50,4,1080640,74496267,310419,31778162,209704,662838752,520123,980620372,210553,39582735,73444,1074112296,42408,3040158231,115852,411427053,28,725487099077,41,3427207817659,11,8758979245736,54370,9273647532,96626,2116862682,261764,532586118,406,16645366151,128198,24186272,297782,833973853,116240,31973959,27375,2407534965,51532
