local,sxraca,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
43,3,870293,985857193,210630,85349185,134559,87747278,345190,73096463,159017,193012455,50243,9200796623,27305,4640533862,77549,3841330485,24,2022646272098,42,167640652735,10,1690084268679,41936,1891395273,82338,9308363294,180889,335503485,445,70336941941,72966,8346472556,170955,662271195,61879,6876311311,24383,2493295191,33896
43,4,855417,308198838,194791,408797114,129561,447206635,324352,856003749,149629,858253714,46448,9012241125,25333,1757021362,71782,769262487,22,7715066003593,41,9321103322488,9,54857327197798,38653,484483404,78370,102737255,165481,963919183,489,980001881124,60272,5705034045,156731,190780398,51889,5559575907,20999,4971344663,34892
50,1,557712,33513705,109583,82671585,87714,3853845116,197297,468056096,113122,937309551,26577,679744912,18971,563181454,45548,7360630574,19,6486747320473,40,8456919394211,8,2563715123092,17012,9321056969,28989,1420966849,91115,2185115676,88,7861080942944,52424,902969116,105308,469733665,46793,9247139927,10970,2349254305,17311
50,2,589571,859598144,100610,514816938,87488,8591809532,188099,373997891,111043,257674493,25646,775934621,17934,7851209831,43580,8627144452,17,650130563413,40,7263981575721,6,94996516296724,15197,8223261058,26041,2094584269,83682,5845511696,42,712105846694,46012,3899004394,96581,1703223055,40288,993864644,9979,87715746243,16922
50,3,612026,945148671,178190,43456021,118204,4734557,296394,516911722,116649,395876554,40816,8841541174,23047,6774778849,63864,5616320023,29,1147383082515,41,3556393296872,12,405861665428,31155,8763638367,55223,5633850981,150735,507852923,187,802347916367,76825,1859250172,170637,757783432,70277,1989647937,16222,8867744,28663
50,4,588056,105995175,162096,667277724,113972,444104139,276069,111381863,107080,924780558,36780,2607561289,21952,2397667602,58732,5005228891,27,564830230511,41,2483636237833,11,3700414057597,28667,288140192,51035,9312147495,135695,245243297,272,523001571326,62853,485505763,155541,309232366,56205,865524371,14114,2005579578,28561
51,1,567135,58185562,147152,702398946,99137,8600971076,246290,562496053,110931,778258343,30367,9615865767,20049,6844334292,50417,6460200059,25,946653164923,41,1347712139761,10,673096417075,17808,479385989,24716,251472679,119676,793022553,235,81914419349,93915,7040182224,142494,530128047,73382,2841257674,14081,792319927,17588
51,2,560950,119874337,131201,908994485,94493,3218662083,225695,230860693,109118,274424076,30876,2085842041,19819,2956617768,50695,5042459809,23,3892291571087,40,8165057058207,9,54666605345877,15824,8357914896,22293,7083525375,106842,220733562,144,17704916079,78612,2154414214,127194,438526516,59529,6104417993,12642,9315855317,17966
51,3,943111,754773218,318322,107057474,186204,863335988,504526,970393462,187621,623268097,70732,9775728016,39276,4598352219,110009,437408023,33,7523210209609,41,8039593915015,14,1098065732917,46964,2065953751,71461,9407157417,262932,793101004,461,356157814444,178815,836328479,302011,539677315,145205,479510117,29639,1480885216,47299
51,4,883692,535386132,278732,137713388,173300,115297947,452032,253011335,176867,232818561,67456,3974874738,36075,6017382693,103531,999225743,31,5417553676172,41,7115368056053,13,1565508992976,41747,9129273816,62052,8378278429,230609,218782693,597,497743576645,147389,694937948,265113,731875891,116851,963417271,24610,5140912427,44032
52,1,1207618,18882174,198549,632862626,179805,25605467,378354,658468093,237918,164830503,44333,1180984088,37645,6074408017,81978,7255392105,16,4414245082172,39,6408481929317,6,51752013005785,28656,3350745718,42459,7482035714,166577,845349347,157,465562317137,127509,28078674,187242,594787391,78033,7966560006,20870,961654728,32957
52,2,1280055,51405412,182521,388182155,177934,496403356,360455,884585511,233759,345530018,43423,2540603136,38061,8854057527,81485,1394660663,14,2588650396954,39,609865769937,5,6479173025398,26077,8223120881,39347,4761233439,152467,471711611,321,725370112262,112356,547241373,172246,789088879,66139,2403955708,18457,9471908828,34009
52,3,1724537,76011898,425246,65102652,339340,835684983,764586,900787635,324101,254439279,95647,5409593327,67672,9473449353,163320,488304268,24,6585534359835,40,4312926940591,9,96977191382348,71542,6396262292,114915,524971554,356383,82632547,840,73344586899,244651,954252917,396512,763414183,140216,53720108,47603,3499666719,79139
52,4,1682397,50282502,384909,280509927,324083,616664576,708992,897174503,306863,939610169,88944,789825927,63989,7125540678,152933,79153666,22,8786169655863,40,2975108201519,9,21951314720826,65097,668275251,101299,958677755,320879,618814013,774,626781810823,212249,318929573,358795,516217494,114532,137457081,40713,3938474428,77074
53,1,499875,554366413,22258,6761480588,28041,4222874936,50300,984355524,103066,10186538,6088,14749264512,8222,56219184078,14310,7096844859,4,45284350347386,40,1995913773167,1,79002489306788,4618,37180365382,7876,61440742414,18491,606195401,94,771224485369,8138,3843949534,15610,789759609,5622,52374703086,2277,29803292958,6341
53,2,575203,63987766,23167,229039344,31892,4873302976,55059,510234232,100764,113525444,6413,96162259421,8927,50024884977,15341,461871444,4,2762105414733,40,4107642672635,1,62759244977015,4547,39342443603,9119,55141972257,19853,610367549,32,6873963344862,7138,92834172085,15154,3623435052,4796,56541504661,2600,729033095,7534
53,3,707382,448512456,67806,9618991044,70682,3300219418,138489,291921046,136405,480069333,17943,2945880837,17738,8902008807,35682,1847889644,9,58561553819926,40,9693807753381,3,92716732950483,14415,8929949454,26410,5489126598,57256,8031802914,133,851076015531,21108,9661400341,47037,5079721572,15096,242468741,6637,71542963391,20355
53,4,737095,111245702,65399,74288217,69337,8607847647,134736,935072982,131284,980131373,17655,3270231119,16548,2030314745,34203,5300545865,8,87254213064736,40,5639884137667,3,59905696188237,13572,53991413,24820,182102027,54538,4031230659,215,668188930949,19153,286514924,43112,7547561028,12749,2938685344,5629,58483755416,22280
